csafp,cbsafp,geoid,name,lsad,name_short,lat,lon
440,31020,31020,"Longview, WA",M1,Longview,46.1967854,-122.6784596
106,31060,31060,"Los Alamos, NM",M2,Los Alamos,35.8700469,-106.3079679
348,31080,31080,"Los Angeles-Long Beach-Anaheim, CA",M1,Los Angeles,34.1087033,-118.1827533
350,31140,31140,"Louisville/Jefferson County, KY-IN",M1,"Louisville/Jefferson County, KY",38.3058381,-85.6816455
352,31180,31180,"Lubbock, TX",M1,Lubbock,33.4703271,-101.6488249
NA,31260,31260,"Lufkin, TX",M2,Lufkin,31.2518963,-94.6111337
246,31300,31300,"Lumberton, NC",M2,Lumberton,34.6392096,-79.1008811
NA,31340,31340,"Lynchburg, VA",M1,Lynchburg,37.3649258,-79.2166894
260,31460,31460,"Madera, CA",M1,Madera,37.2098213,-119.7498023
357,31540,31540,"Madison, WI",M1,Madison,43.0842941,-89.5971796
NA,31660,31660,"Malone, NY",M2,Malone,44.5943758,-74.31067
148,31700,31700,"Manchester-Nashua, NH",M1,Manchester,42.9115317,-71.7230554
NA,31740,31740,"Manhattan, KS",M1,Manhattan,39.2684241,-96.5622422
NA,31820,31820,"Manitowoc, WI",M2,Manitowoc,44.156137,-87.5773525
359,31860,31860,"Mankato, MN",M1,Mankato,44.1548096,-94.1478013
360,31900,31900,"Mansfield, OH",M1,Mansfield,40.774159,-82.5427812
361,31940,31940,"Marinette, WI-MI",M2,"Marinette, WI",45.435279,-87.7692157
NA,32100,32100,"Marquette, MI",M2,Marquette,46.6565964,-87.5840278
NA,32140,32140,"Marshall, MN",M2,Marshall,44.4091953,-95.8472678
NA,32260,32260,"Marshalltown, IA",M2,Marshalltown,42.041691,-92.9814523
NA,32300,32300,"Martinsville, VA",M2,Martinsville,36.6825035,-79.8725642
NA,32380,32380,"Mason City, IA",M2,Mason City,43.2137325,-93.2743388
NA,32540,32540,"McAlester, OK",M2,McAlester,34.9255401,-95.7481302
365,32580,32580,"McAllen-Edinburg-Mission, TX",M1,McAllen,26.3963839,-98.18099
NA,32620,32620,"McComb, MS",M2,McComb,31.1775159,-90.3977254
366,32780,32780,"Medford, OR",M1,Medford,42.4116214,-122.6756106
368,32820,32820,"Memphis, TN-MS-AR",M1,"Memphis, TN",35.0244194,-89.8719712
488,32900,32900,"Merced, CA",M1,Merced,37.1948063,-120.7228019
NA,32940,32940,"Meridian, MS",M2,Meridian,32.4106743,-88.6619259
370,33100,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",M1,Miami,26.1018281,-80.4787552
NA,33180,33180,"Middlesborough, KY",M2,Middlesborough,36.7289281,-83.680718
372,33260,33260,"Midland, TX",M1,Midland,32.0923594,-101.9945395
NA,33300,33300,"Milledgeville, GA",M2,Milledgeville,33.1985269,-83.0911491
376,33340,33340,"Milwaukee-Waukesha, WI",M1,Milwaukee,43.0176601,-87.4815541
378,33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",M1,Minneapolis,45.096664,-93.275361
NA,33500,33500,"Minot, ND",M2,Minot,48.3202424,-101.1980099
NA,33540,33540,"Missoula, MT",M1,Missoula,47.0272632,-113.8926911
NA,33580,33580,"Mitchell, SD",M2,Mitchell,43.675038,-97.9669366
380,33660,33660,"Mobile, AL",M1,Mobile,30.9715095,-88.20787
488,33700,33700,"Modesto, CA",M1,Modesto,37.5623162,-121.0028311
384,33740,33740,"Monroe, LA",M1,Monroe,32.734255,-92.0995498
220,33780,33780,"Monroe, MI",M1,Monroe,41.916097,-83.4871059
388,33860,33860,"Montgomery, AL",M1,Montgomery,32.3656313,-86.4045848
NA,33940,33940,"Montrose, CO",M2,Montrose,38.3425479,-108.1622366
404,33980,33980,"Morehead City, NC",M2,Morehead City,34.8583428,-76.5358602
318,34020,34020,"Morgan City, LA",M2,Morgan City,29.6293488,-91.4638037
390,34060,34060,"Morgantown, WV",M1,Morgantown,39.5251551,-79.8019121
393,34180,34180,"Moses Lake, WA",M2,Moses Lake,47.2136328,-119.467788
NA,34220,34220,"Moultrie, GA",M2,Moultrie,31.1897075,-83.769773
NA,34260,34260,"Mountain Home, AR",M2,Mountain Home,36.2802684,-92.3299488
147,34300,34300,"Mountain Home, ID",M2,Mountain Home,43.3946984,-115.471205
268,34340,34340,"Mount Airy, NC",M2,Mount Airy,36.415416,-80.6864631
NA,34420,34420,"Mount Pleasant, TX",M2,Mount Pleasant,33.1377994,-94.9710024
NA,34500,34500,"Mount Vernon, IL",M2,Mount Vernon,38.3007796,-88.92421
500,34580,34580,"Mount Vernon-Anacortes, WA",M1,Mount Vernon,48.4932917,-121.8157703
294,34620,34620,"Muncie, IN",M1,Muncie,40.2275433,-85.3992617
266,34740,34740,"Muskegon, MI",M1,Muskegon,43.2892579,-86.751892
538,34780,34780,"Muskogee, OK",M2,Muskogee,35.6175506,-95.3839106
396,34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",M1,Myrtle Beach,33.9690951,-78.6127235
NA,34860,34860,"Nacogdoches, TX",M2,Nacogdoches,31.6205598,-94.6202497
488,34900,34900,"Napa, CA",M1,Napa,38.5070999,-122.3259045
163,34940,34940,"Naples-Marco Island, FL",M1,Naples,26.118786,-81.4009553
400,34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",M1,Nashville,36.1181822,-86.6441196
NA,35060,35060,"Natchitoches, LA",M2,Natchitoches,31.7325509,-93.0826114
404,35100,35100,"New Bern, NC",M1,New Bern,35.1168292,-77.0813197
408,35300,35300,"New Haven-Milford, CT",M1,New Haven,41.3497185,-72.9002033
406,35380,35380,"New Orleans-Metairie, LA",M1,New Orleans,29.805532,-89.7013821
408,35620,35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,New York,40.77493,-73.873758
515,35660,35660,"Niles, MI",M1,Niles,41.7913818,-86.7425435
536,35700,35700,"Nogales, AZ",M2,Nogales,31.525733,-110.8452278
NA,35740,35740,"Norfolk, NE",M2,Norfolk,42.0431301,-97.4879515
NA,35820,35820,"North Platte, NE",M2,North Platte,41.2306471,-100.7833204
412,35840,35840,"North Port-Sarasota-Bradenton, FL",M1,North Port,27.3642461,-82.3193579
NA,35900,35900,"North Wilkesboro, NC",M2,North Wilkesboro,36.2088833,-81.1660949
278,35980,35980,"Norwich-New London, CT",M1,Norwich,41.4726517,-72.1086339
500,36020,36020,"Oak Harbor, WA",M2,Oak Harbor,48.1585538,-122.6706492
NA,36100,36100,"Ocala, FL",M1,Ocala,29.2028047,-82.0431004
482,36260,36260,"Ogden-Clearfield, UT",M1,Ogden,41.276061,-113.126226
NA,36300,36300,"Ogdensburg-Massena, NY",M2,Ogdensburg,44.4881125,-75.074311
NA,36340,36340,"Oil City, PA",M2,Oil City,41.4007143,-79.7658126
416,36420,36420,"Oklahoma City, OK",M1,Oklahoma City,35.4309676,-97.5069659
500,36500,36500,"Olympia-Lacey-Tumwater, WA",M1,Olympia,46.9358216,-122.8301524
420,36540,36540,"Omaha-Council Bluffs, NE-IA",M1,Omaha,41.2904587,-95.9999701
147,36620,36620,"Ontario, OR-ID",M2,"Ontario, OR",43.2258691,-117.619933
192,36700,36700,"Orangeburg, SC",M2,Orangeburg,33.436135,-80.8029131
422,36740,36740,"Orlando-Kissimmee-Sanford, FL",M1,Orlando,28.4343962,-81.3560839
118,36780,36780,"Oshkosh-Neenah, WI",M1,Oshkosh,44.0857068,-88.6681488
218,36820,36820,"Oskaloosa, IA",M2,Oskaloosa,41.3307969,-92.6363663
NA,36900,36900,"Ottumwa, IA",M2,Ottumwa,41.0312751,-92.4094658
NA,36980,36980,"Owensboro, KY",M1,Owensboro,37.6937232,-87.077058
NA,37060,37060,"Oxford, MS",M2,Oxford,34.353077999999996,-89.4853847
348,37100,37100,"Oxnard-Thousand Oaks-Ventura, CA",M1,Oxnard,34.3587415,-119.1331432
222,37120,37120,"Ozark, AL",M2,Ozark,31.4306536,-85.609476
424,37140,37140,"Paducah, KY-IL",M2,"Paducah, KY",37.1341812,-88.6566679
332,37220,37220,"Pahrump, NV",M2,Pahrump,37.9658636,-116.4590107
NA,37300,37300,"Palestine, TX",M2,Palestine,31.8412614,-95.6617267
NA,37340,37340,"Palm Bay-Melbourne-Titusville, FL",M1,Palm Bay,28.2983112,-80.7003334
NA,37460,37460,"Panama City, FL",M1,Panama City,30.2382176,-85.6316798
NA,37580,37580,"Paris, TX",M2,Paris,33.6672628,-95.5703477
426,37860,37860,"Pensacola-Ferry Pass-Brent, FL",M1,Pensacola,30.6554013,-87.1618275
NA,37900,37900,"Peoria, IL",M1,Peoria,40.7088872,-89.6974658
316,37940,37940,"Peru, IN",M2,Peru,40.7728833,-86.0442575
428,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",M1,Philadelphia,39.8949576,-75.3119824
429,38060,38060,"Phoenix-Mesa-Chandler, AZ",M1,Phoenix,33.1857653,-112.0678624
340,38220,38220,"Pine Bluff, AR",M1,Pine Bluff,34.0812083,-91.9457289
430,38300,38300,"Pittsburgh, PA",M1,Pittsburgh,40.4395249,-79.8360972
NA,38340,38340,"Pittsfield, MA",M1,Pittsfield,42.371493,-73.2179276
352,38380,38380,"Plainview, TX",M2,Plainview,34.0684364,-101.8228879
NA,38420,38420,"Platteville, WI",M2,Platteville,42.8700275,-90.6942288
NA,38460,38460,"Plattsburgh, NY",M2,Plattsburgh,44.752712,-73.7056429
NA,38540,38540,"Pocatello, ID",M1,Pocatello,42.6897614,-112.5775299
NA,38620,38620,"Ponca City, OK",M2,Ponca City,36.8148851,-97.1438616
NA,38820,38820,"Port Angeles, WA",M2,Port Angeles,48.1109034,-123.8898599
438,38860,38860,"Portland-South Portland, ME",M1,Portland,43.6514172,-70.4183755
440,38900,38900,"Portland-Vancouver-Hillsboro, OR-WA",M1,Portland,45.6006221,-122.484378
544,38920,38920,"Port Lavaca, TX",M2,Port Lavaca,28.4417191,-96.5795739
370,38940,38940,"Port St. Lucie, FL",M1,Port St. Lucie,27.2280459,-80.4253884
408,39100,39100,"Poughkeepsie-Newburgh-Middletown, NY",M1,Poughkeepsie,41.5752737,-74.0338729
NA,39150,39150,"Prescott Valley-Prescott, AZ",M1,Prescott Valley,34.631071,-112.5772247
NA,39220,39220,"Price, UT",M2,Price,39.673284,-110.5884845
148,39300,39300,"Providence-Warwick, RI-MA",M1,Providence,41.7068313,-71.2866369
482,39340,39340,"Provo-Orem, UT",M1,Provo,39.872067,-112.3590592
444,39380,39380,"Pueblo, CO",M1,Pueblo,38.1706581,-104.4898924
446,39420,39420,"Pullman, WA",M2,Pullman,46.9059441,-117.5353898
412,39460,39460,"Punta Gorda, FL",M1,Punta Gorda,26.8689745,-81.9412782
448,39500,39500,"Quincy, IL-MO",M2,"Quincy, IL",40.0271652,-91.3898384
376,39540,39540,"Racine, WI",M1,Racine,42.7541215,-87.4208775
450,39580,39580,"Raleigh-Cary, NC",M1,Raleigh,35.7567464,-78.4604412
452,39660,39660,"Rapid City, SD",M1,Rapid City,44.3154852,-102.7683833
428,39740,39740,"Reading, PA",M1,Reading,40.4139565,-75.9268598
454,39780,39780,"Red Bluff, CA",M2,Red Bluff,40.1261573,-122.2322737
454,39820,39820,"Redding, CA",M1,Redding,40.7605142,-122.0435556
378,39860,39860,"Red Wing, MN",M2,Red Wing,44.4061779,-92.7160003
456,39900,39900,"Reno, NV",M1,Reno,40.5007953,-119.7311608
NA,40060,40060,"Richmond, VA",M1,Richmond,37.4113241,-77.4418164
348,40140,40140,"Riverside-San Bernardino-Ontario, CA",M1,Riverside,34.5384763,-116.1345414
NA,40180,40180,"Riverton, WY",M2,Riverton,43.054831,-108.6089349
NA,40220,40220,"Roanoke, VA",M1,Roanoke,37.2862262,-79.9469346
462,40340,40340,"Rochester, MN",M1,Rochester,43.9496362,-92.3360701
464,40380,40380,"Rochester, NY",M1,Rochester,43.148038,-77.5232575
466,40420,40420,"Rockford, IL",M1,Rockford,42.331183,-89.0429139
NA,40460,40460,"Rockingham, NC",M2,Rockingham,35.004636,-79.7556946
204,40530,40530,"Rockport, TX",M2,Rockport,28.1226209,-96.9675012
NA,40540,40540,"Rock Springs, WY",M2,Rock Springs,41.6603282,-108.8756774
468,40580,40580,"Rocky Mount, NC",M1,Rocky Mount,35.9410455,-77.7985494
122,40660,40660,"Rome, GA",M1,Rome,34.2636918,-85.2136851
NA,40700,40700,"Roseburg, OR",M2,Roseburg,43.2863277,-123.154476
NA,40740,40740,"Roswell, NM",M2,Roswell,33.3616045,-104.4698374
NA,40760,40760,"Ruidoso, NM",M2,Ruidoso,33.7408411,-105.4498055
NA,40780,40780,"Russellville, AR",M2,Russellville,35.1995857,-93.2527625
384,40820,40820,"Ruston, LA",M2,Ruston,32.6018231,-92.6623026
NA,40860,40860,"Rutland, VT",M2,Rutland,43.5808577,-73.0382023
472,40900,40900,"Sacramento-Roseville-Folsom, CA",M1,Sacramento,38.7896779,-121.0057504
NA,40940,40940,"Safford, AZ",M2,Safford,32.9318277,-109.8783103
474,40980,40980,"Saginaw, MI",M1,Saginaw,43.3282667,-84.05541
378,41060,41060,"St. Cloud, MN",M1,St. Cloud,45.5930312,-94.4883635
NA,41100,41100,"St. George, UT",M1,St. George,37.2625308,-113.4878003
312,41140,41140,"St. Joseph, MO-KS",M1,"St. Joseph, MO",39.834843,-94.7837537
476,41180,41180,"St. Louis, MO-IL",M1,"St. Louis, MO",38.7402108,-90.3458253
300,41220,41220,"St. Marys, GA",M2,St. Marys,30.913358,-81.6420193
440,41420,41420,"Salem, OR",M1,Salem,44.9033845,-122.9017571
NA,41500,41500,"Salinas, CA",M1,Salinas,36.240107,-121.3155723
480,41540,41540,"Salisbury, MD-DE",M1,"Salisbury, MD",38.3995211,-75.4782615
482,41620,41620,"Salt Lake City, UT",M1,Salt Lake City,40.5728869,-112.9532527
NA,41660,41660,"San Angelo, TX",M1,San Angelo,31.4798393,-100.7745902
484,41700,41700,"San Antonio-New Braunfels, TX",M1,San Antonio,29.4330599,-98.6069734
NA,41740,41740,"San Diego-Chula Vista-Carlsbad, CA",M1,San Diego,33.0236041,-116.7761174
488,41860,41860,"San Francisco-Oakland-Berkeley, CA",M1,San Francisco,37.7737185,-122.2744317
488,41940,41940,"San Jose-Sunnyvale-Santa Clara, CA",M1,San Jose,36.9084718,-121.3713721
490,41980,41980,"San Juan-Bayamón-Caguas, PR",M1,San Juan,18.2944526,-66.0368437
NA,42020,42020,"San Luis Obispo-Paso Robles, CA",M1,San Luis Obispo,35.3852242,-120.4475445
488,42100,42100,"Santa Cruz-Watsonville, CA",M1,Santa Cruz,37.0124883,-122.007205
106,42140,42140,"Santa Fe, NM",M1,Santa Fe,35.5145305,-105.9639718
488,42220,42220,"Santa Rosa-Petaluma, CA",M1,Santa Rosa,38.5251824,-122.9261095
NA,42300,42300,"Sault Ste. Marie, MI",M2,Sault Ste. Marie,46.3218192,-84.5206297
496,42340,42340,"Savannah, GA",M1,Savannah,32.1091533,-81.2731066
NA,42420,42420,"Scottsbluff, NE",M2,Scottsbluff,42.1633258,-103.7344731
497,42460,42460,"Scottsboro, AL",M2,Scottsboro,34.764114,-85.9800556
NA,42540,42540,"Scranton--Wilkes-Barre, PA",M1,Scranton,41.3228806,-75.8981877
340,42620,42620,"Searcy, AR",M2,Searcy,35.2551175,-91.7530339
500,42660,42660,"Seattle-Tacoma-Bellevue, WA",M1,Seattle,47.4905993,-121.833996
NA,42700,42700,"Sebring-Avon Park, FL",M1,Sebring,27.3410799,-81.3423534
146,42780,42780,"Selinsgrove, PA",M2,Selinsgrove,40.7554068,-77.0729288
388,42820,42820,"Selma, AL",M2,Selma,32.3335397,-87.1143556
273,42860,42860,"Seneca, SC",M2,Seneca,34.7487656,-83.0615395
NA,42200,42200,"Santa Maria-Santa Barbara, CA",M1,Santa Maria,34.5370572,-120.0399729
416,43060,43060,"Shawnee, OK",M2,Shawnee,35.2113928,-96.957007
172,43140,43140,"Shelby, NC",M2,Shelby,35.3346302,-81.5571145
500,43220,43220,"Shelton, WA",M2,Shelton,47.3541257,-123.1738498
NA,43260,43260,"Sheridan, WY",M2,Sheridan,44.7813692,-106.8812114
206,43300,43300,"Sherman-Denison, TX",M1,Sherman,33.624524,-96.675693
NA,43320,43320,"Show Low, AZ",M2,Show Low,35.3907852,-110.3210248
508,43340,43340,"Shreveport-Bossier City, LA",M1,Shreveport,32.4376822,-93.7448836
NA,43420,43420,"Sierra Vista-Douglas, AZ",M1,Sierra Vista,31.8401287,-109.7751627
NA,43500,43500,"Silver City, NM",M2,Silver City,32.732087,-108.3815043
NA,43580,43580,"Sioux City, IA-NE-SD",M1,"Sioux City, IA",42.5129417,-96.4389491
NA,43620,43620,"Sioux Falls, SD",M1,Sioux Falls,43.4954205,-96.9953387
NA,43700,43700,"Somerset, KY",M2,Somerset,37.1073741,-84.5769534
515,43780,43780,"South Bend-Mishawaka, IN-MI",M1,South Bend,41.7749808,-86.1230143
273,43900,43900,"Spartanburg, SC",M1,Spartanburg,34.9332708,-81.9910522
517,43980,43980,"Spencer, IA",M2,Spencer,43.0812244,-95.1498753
518,44060,44060,"Spokane-Spokane Valley, WA",M1,Spokane,48.091618,-117.663472
522,44100,44100,"Springfield, IL",M1,Springfield,39.828565,-89.6962052
NA,44140,44140,"Springfield, MA",M1,Springfield,42.3648332,-72.6194063
NA,44180,44180,"Springfield, MO",M1,Springfield,37.3608699,-93.1802617
212,44220,44220,"Springfield, OH",M1,Springfield,39.9170315,-83.783676
524,44300,44300,"State College, PA",M1,State College,40.9091275,-77.8478769
496,44340,44340,"Statesboro, GA",M2,Statesboro,32.3917111,-81.744021
277,44420,44420,"Staunton, VA",M1,Staunton,38.1609584,-79.1276321
525,44460,44460,"Steamboat Springs, CO",M2,Steamboat Springs,40.4836638,-106.9877021
NA,44660,44660,"Stillwater, OK",M2,Stillwater,36.0792254,-96.9752553
488,44700,44700,"Stockton, CA",M1,Stockton,37.9349815,-121.272244
310,44780,44780,"Sturgis, MI",M2,Sturgis,41.9114878,-85.5228703
NA,44860,44860,"Sulphur Springs, TX",M2,Sulphur Springs,33.1489673,-95.5654337
NA,44940,44940,"Sumter, SC",M1,Sumter,33.7926537,-80.2940548
NA,45020,45020,"Sweetwater, TX",M2,Sweetwater,32.3123379,-100.4181078
532,45060,45060,"Syracuse, NY",M1,Syracuse,43.0065163,-76.1961336
NA,45140,45140,"Tahlequah, OK",M2,Tahlequah,35.9043668,-94.9967964
142,45180,45180,"Talladega-Sylacauga, AL",M2,Talladega,33.3693135,-86.1759302
NA,45220,45220,"Tallahassee, FL",M1,Tallahassee,30.3864255,-84.2804096
NA,45300,45300,"Tampa-St. Petersburg-Clearwater, FL",M1,Tampa,28.1259071,-82.4652858
522,45380,45380,"Taylorville, IL",M2,Taylorville,39.5455242,-89.2795927
NA,45500,45500,"Texarkana, TX-AR",M1,"Texarkana, TX",33.4783701,-94.2071694
122,45580,45580,"Thomaston, GA",M2,Thomaston,32.8818367,-84.2922831
534,45780,45780,"Toledo, OH",M1,Toledo,41.5553128,-83.5170883
NA,45820,45820,"Topeka, KS",M1,Topeka,39.0413888,-95.8026393
NA,45900,45900,"Traverse City, MI",M2,Traverse City,44.9523239,-85.90832
408,45940,45940,"Trenton-Princeton, NJ",M1,Trenton,40.2825026,-74.703724
NA,45980,45980,"Troy, AL",M2,Troy,31.7986508,-85.9416035
472,46020,46020,"Truckee-Grass Valley, CA",M2,Truckee,39.2975082,-120.7713429
536,46060,46060,"Tucson, AZ",M1,Tucson,32.1280427,-111.7836574
538,46140,46140,"Tulsa, OK",M1,Tulsa,36.2544287,-96.1773294
539,46180,46180,"Tupelo, MS",M2,Tupelo,34.3400327,-88.6511835
NA,46220,46220,"Tuscaloosa, AL",M1,Tuscaloosa,33.0978758,-87.7991533
NA,46300,46300,"Twin Falls, ID",M1,Twin Falls,42.4403972,-114.5687294
540,46340,46340,"Tyler, TX",M1,Tyler,32.3770156,-95.2700409
NA,46380,46380,"Ukiah, CA",M2,Ukiah,39.4323876,-123.4428811
NA,46520,46520,"Urban Honolulu, HI",M1,Urban Honolulu,21.5800225,-158.1234063
NA,46540,46540,"Utica-Rome, NY",M1,Utica,43.3322796,-75.1731893
NA,46620,46620,"Uvalde, TX",M2,Uvalde,29.3503081,-99.768427
NA,46660,46660,"Valdosta, GA",M1,Valdosta,30.8271579,-83.2435547
488,46700,46700,"Vallejo, CA",M1,Vallejo,38.2672255,-121.939594
NA,46860,46860,"Vernal, UT",M2,Vernal,40.1258872,-109.5177482
544,47020,47020,"Victoria, TX",M1,Victoria,28.7314546,-97.1969934
NA,47080,47080,"Vidalia, GA",M2,Vidalia,32.1542177,-82.4113785
428,47220,47220,"Vineland-Bridgeton, NJ",M1,Vineland,39.3284336,-75.1216277
NA,47240,47240,"Vineyard Haven, MA",M2,Vineyard Haven,41.3809696,-70.7014995
545,47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",M1,Virginia Beach,36.8044077,-76.4495261
NA,47300,47300,"Visalia, CA",M1,Visalia,36.2288339,-118.7810551
NA,47380,47380,"Waco, TX",M1,Waco,31.4272264,-97.0934727
244,47420,47420,"Wahpeton, ND-MN",M2,"Wahpeton, ND",46.293950100000004,-96.7907012
313,47460,47460,"Walla Walla, WA",M1,Walla Walla,46.2546057,-118.4803697
356,47580,47580,"Warner Robins, GA",M1,Warner Robins,32.4928056,-83.7110844
312,47660,47660,"Warrensburg, MO",M2,Warrensburg,38.741528,-93.8118634
515,47700,47700,"Warsaw, IN",M2,Warsaw,41.2442928,-85.8615754
548,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",M1,Washington,38.7982054,-77.4868816
NA,47940,47940,"Waterloo-Cedar Falls, IA",M1,Waterloo,42.5367962,-92.471608
NA,47980,47980,"Watertown, SD",M2,Watertown,44.8524086,-97.1770994
376,48020,48020,"Watertown-Fort Atkinson, WI",M2,Watertown,43.0138045,-88.7739847
NA,48060,48060,"Watertown-Fort Drum, NY",M1,Watertown,43.996389,-76.0529678
554,48140,48140,"Wausau-Weston, WI",M1,Wausau,45.0539796,-89.7579047
NA,48180,48180,"Waycross, GA",M2,Waycross,31.1331137,-82.3686504
NA,48220,48220,"Weatherford, OK",M2,Weatherford,35.6456012,-98.9973857
NA,48300,48300,"Wenatchee, WA",M1,Wenatchee,47.7661102,-120.2701973
NA,48460,48460,"West Plains, MO",M2,West Plains,36.7743685,-91.8873677
NA,48540,48540,"Wheeling, WV-OH",M1,"Wheeling, WV",39.975509,-80.8470113
556,48620,48620,"Wichita, KS",M1,Wichita,37.637896,-97.2462875
NA,48660,48660,"Wichita Falls, TX",M1,Wichita Falls,33.7761441,-98.5019073
558,48700,48700,"Williamsport, PA",M1,Williamsport,41.3438824,-77.0552624
NA,48780,48780,"Williston, ND",M2,Williston,48.3557649,-103.5013332
NA,48900,48900,"Wilmington, NC",M1,Wilmington,34.4260331,-77.889634
178,48940,48940,"Wilmington, OH",M2,Wilmington,39.4302248,-83.7956823
556,49060,49060,"Winfield, KS",M2,Winfield,37.2345068,-96.8372468
NA,49080,49080,"Winnemucca, NV",M2,Winnemucca,41.4079136,-118.1275915
268,49180,49180,"Winston-Salem, NC",M1,Winston,36.0788515,-80.3450642
554,49220,49220,"Wisconsin Rapids-Marshfield, WI",M2,Wisconsin Rapids,44.4614126,-90.0388252
