GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
74746	Richmond, VA Urbanized Area	U	1275448794	22249101	492.454	8.59	37.477942	-77.487983                                                                                                               
74827	Ridgecrest, CA Urban Cluster	C	46917143	1077	18.115	0.	35.62598	-117.684073                                                                                                                       
74840	Ridgefield, WA Urban Cluster	C	5696577	0	2.199	0.	45.812806	-122.729693                                                                                                                           
74854	Ridgeland, SC Urban Cluster	C	14167558	38078	5.47	0.015	32.481192	-80.969386                                                                                                                      
74881	Ridge Manor, FL Urban Cluster	C	7873973	130858	3.04	0.051	28.512617	-82.183872                                                                                                                    
74908	Ridgway, PA Urban Cluster	C	8018907	94856	3.096	0.037	41.42649	-78.732883                                                                                                                         
74935	Rifle, CO Urban Cluster	C	10189365	0	3.934	0.	39.54048	-107.773575                                                                                                                                
74962	Rigby, ID Urban Cluster	C	21675600	39400	8.369	0.015	43.664836	-111.913207                                                                                                                        
74989	Rincon, GA Urban Cluster	C	21287841	14197	8.219	0.005	32.281366	-81.227939                                                                                                                        
75016	Rio Bravo--El Cenizo, TX Urban Cluster	C	12274201	18438	4.739	0.007	27.347298	-99.495245                                                                                                          
75043	Rio Dell, CA Urban Cluster	C	4760297	95990	1.838	0.037	40.494756	-124.103884                                                                                                                      
75072	Rio Grande City--Roma, TX Urban Cluster	C	69507011	0	26.837	0.	26.375237	-98.850733                                                                                                               
75080	Rio Hondo, TX Urban Cluster	C	9457710	150138	3.652	0.058	26.232386	-97.580355                                                                                                                     
75089	Rio Rico Northeast, AZ Urban Cluster	C	4578816	0	1.768	0.	31.481588	-110.977124                                                                                                                   
75097	Rio Vista, CA Urban Cluster	C	8203903	0	3.168	0.	38.170338	-121.701949                                                                                                                            
75124	Ripley, MS Urban Cluster	C	8361131	29030	3.228	0.011	34.734125	-88.949397                                                                                                                         
75151	Ripley, TN Urban Cluster	C	24274825	39434	9.373	0.015	35.736154	-89.541381                                                                                                                        
75178	Ripley, WV Urban Cluster	C	9959544	457435	3.845	0.177	38.818715	-81.735991                                                                                                                        
75205	Ripon, WI Urban Cluster	C	9594984	117619	3.705	0.045	43.844864	-88.839453                                                                                                                         
75270	Riverdale, CA Urban Cluster	C	2306823	0	0.891	0.	36.431071	-119.862054                                                                                                                            
75286	River Falls, WI Urban Cluster	C	19824481	207891	7.654	0.08	44.860217	-92.613215                                                                                                                   
75340	Riverside--San Bernardino, CA Urbanized Area	U	1411259736	8462051	544.89	3.267	33.985049	-117.341972                                                                                              
75367	Riverton, WY Urban Cluster	C	18386024	206	7.099	0.	43.031801	-108.397751                                                                                                                          
75394	Roanoke, AL Urban Cluster	C	10969274	45067	4.235	0.017	33.148503	-85.36641                                                                                                                        
75421	Roanoke, VA Urbanized Area	U	321571033	1854192	124.159	0.716	37.290783	-79.976293                                                                                                                 
75448	Roanoke Rapids, NC Urban Cluster	C	42150624	154355	16.274	0.06	36.450617	-77.648931                                                                                                               
75475	Roaring Spring, PA Urban Cluster	C	18574107	0	7.172	0.	40.352224	-78.458297                                                                                                                       
75502	Robertsdale, AL Urban Cluster	C	18102915	188730	6.99	0.073	30.561397	-87.718939                                                                                                                   
75529	Robinson, IL Urban Cluster	C	14013417	29100	5.411	0.011	39.004515	-87.733389                                                                                                                      
75556	Robstown, TX Urban Cluster	C	8985625	0	3.469	0.	27.791124	-97.668921                                                                                                                              
75583	Rochelle, IL Urban Cluster	C	19625328	49946	7.577	0.019	41.922219	-89.076322                                                                                                                      
75610	Rochester, IN Urban Cluster	C	11135553	2897401	4.299	1.119	41.058441	-86.2024                                                                                                                     
75637	Rochester, MN Urbanized Area	U	130645231	657632	50.442	0.254	44.020373	-92.480168                                                                                                                 
75664	Rochester, NY Urbanized Area	U	840305569	16966976	324.444	6.551	43.137608	-77.568207                                                                                                              
75691	Rockdale, TX Urban Cluster	C	8214708	0	3.172	0.	30.655668	-97.009634                                                                                                                              
75718	Rockford, IL Urbanized Area	U	395873561	4738761	152.848	1.83	42.295097	-89.010805                                                                                                                 
75732	Rockford, MN Urban Cluster	C	6842553	72503	2.642	0.028	45.091058	-93.741574                                                                                                                       
75745	Rock Hill, SC Urbanized Area	U	247680306	1426643	95.63	0.551	34.957902	-81.040421                                                                                                                 
75772	Rockingham--Hamlet, NC Urban Cluster	C	64516249	160868	24.91	0.062	34.914661	-79.744308                                                                                                           
75799	Rockland, ME Urban Cluster	C	16189258	65320	6.251	0.025	44.06943	-69.195755                                                                                                                       
75826	Rockmart, GA Urban Cluster	C	18353264	167160	7.086	0.065	34.010925	-85.061799                                                                                                                     
75853	Rockport, TX Urban Cluster	C	42478687	1890052	16.401	0.73	28.047279	-97.057873                                                                                                                    
75880	Rock Springs, WY Urban Cluster	C	36298142	16090	14.015	0.006	41.594658	-109.240478                                                                                                                
75907	Rock Valley, IA Urban Cluster	C	4050056	0	1.564	0.	43.201233	-96.29454                                                                                                                            
75934	Rockville, IN Urban Cluster	C	12024227	22328	4.643	0.009	39.776492	-87.264282                                                                                                                     
75961	Rocky Ford, CO Urban Cluster	C	4576399	0	1.767	0.	38.04957	-103.725083                                                                                                                            
75988	Rocky Mount, NC Urbanized Area	U	119097681	281965	45.984	0.109	35.960053	-77.83026                                                                                                                
76015	Rocky Mount, VA Urban Cluster	C	18831259	112723	7.271	0.044	37.003904	-79.885195                                                                                                                  
76042	Rogers City, MI Urban Cluster	C	3636102	0	1.404	0.	45.419462	-83.822301                                                                                                                           
76059	Rogersville, MO Urban Cluster	C	3349935	0	1.293	0.	37.116267	-93.055965                                                                                                                           
76069	Rogersville, TN Urban Cluster	C	15633213	537753	6.036	0.208	36.398883	-83.013273                                                                                                                  
76123	Rolla, MO Urban Cluster	C	27080576	39232	10.456	0.015	37.943928	-91.762096                                                                                                                        
76177	Romancoke, MD Urban Cluster	C	9839039	619433	3.799	0.239	38.900212	-76.355496                                                                                                                     
76204	Rome, GA Urbanized Area	U	123471166	1847805	47.672	0.713	34.256159	-85.174734                                                                                                                     
76231	Rome, NY Urban Cluster	C	56261890	158326	21.723	0.061	43.232984	-75.442413                                                                                                                        
76258	Roosevelt, UT Urban Cluster	C	8133375	0	3.14	0.	40.305406	-109.989391                                                                                                                             
76285	Rosamond, CA Urban Cluster	C	16412379	33333	6.337	0.013	34.862342	-118.180373                                                                                                                     
76312	Roseau, MN Urban Cluster	C	6514520	0	2.515	0.	48.843845	-95.760799                                                                                                                                
76339	Roseburg, OR Urban Cluster	C	49865666	1331086	19.253	0.514	43.219397	-123.346766                                                                                                                  
76366	Rose Hill, KS Urban Cluster	C	2874328	0	1.11	0.	37.567347	-97.132902                                                                                                                              
76447	Roswell, NM Urban Cluster	C	69896588	146873	26.987	0.057	33.366229	-104.527988                                                                                                                    
76474	Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area	U	395535950	48867595	152.717	18.868	42.408246	-88.150621                                                                              
76501	Roxboro, NC Urban Cluster	C	18808479	7119	7.262	0.003	36.399407	-78.983258                                                                                                                        
76528	Roxborough Park, CO Urban Cluster	C	6475833	0	2.5	0.	39.467969	-105.078678                                                                                                                        
76582	Royston, GA Urban Cluster	C	7209176	42257	2.783	0.016	34.28073	-83.106675                                                                                                                         
76595	Ruckersville, VA Urban Cluster	C	17822963	158317	6.881	0.061	38.214109	-78.385059                                                                                                                 
76609	Rugby, ND Urban Cluster	C	3913810	0	1.511	0.	48.365787	-99.992546                                                                                                                                 
76636	Ruidoso, NM Urban Cluster	C	22412023	0	8.653	0.	33.312055	-105.66966                                                                                                                              
76663	Ruleville, MS Urban Cluster	C	3477990	21825	1.343	0.008	33.729091	-90.54889                                                                                                                       
76690	Rumford, ME Urban Cluster	C	5052590	241897	1.951	0.093	44.552529	-70.547448                                                                                                                       
76717	Running Springs, CA Urban Cluster	C	6863774	9227	2.65	0.004	34.209475	-117.111613                                                                                                                 
76744	Rupert, ID Urban Cluster	C	8140470	7822	3.143	0.003	42.615997	-113.684428                                                                                                                         
76759	Rush City, MN Urban Cluster	C	7690424	176421	2.969	0.068	45.688844	-92.957399                                                                                                                     
76771	Rushville, IL Urban Cluster	C	3544209	0	1.368	0.	40.12115	-90.564737                                                                                                                              
76798	Rushville, IN Urban Cluster	C	10903680	0	4.21	0.	39.615766	-85.449958                                                                                                                             
76825	Rusk, TX Urban Cluster	C	8040260	0	3.104	0.	31.801512	-95.151866                                                                                                                                  
76852	Russell, KS Urban Cluster	C	5348406	0	2.065	0.	38.888479	-98.858361                                                                                                                               
76879	Russells Point, OH Urban Cluster	C	13909577	98245	5.371	0.038	40.462623	-83.852944                                                                                                                
76906	Russellville, AL Urban Cluster	C	19692315	123465	7.603	0.048	34.51731	-87.71984                                                                                                                   
76933	Russellville, AR Urban Cluster	C	62535091	578567	24.145	0.223	35.275523	-93.131461                                                                                                                
76960	Russellville, KY Urban Cluster	C	17805115	39999	6.875	0.015	36.844789	-86.892016                                                                                                                  
76987	Ruston, LA Urban Cluster	C	61509756	10982	23.749	0.004	32.535867	-92.65016                                                                                                                        
77014	Rutland, VT Urban Cluster	C	31811444	327357	12.282	0.126	43.602518	-72.981685                                                                                                                     
77027	Sabetha, KS Urban Cluster	C	4393681	13292	1.696	0.005	39.902636	-95.798286                                                                                                                        
77041	Sabina, OH Urban Cluster	C	2971939	7060	1.147	0.003	39.489241	-83.63353                                                                                                                           
77068	Sacramento, CA Urbanized Area	U	1219857356	12966278	470.99	5.006	38.638578	-121.324669                                                                                                            
77095	Safford, AZ Urban Cluster	C	33964251	11415	13.114	0.004	32.836052	-109.744889                                                                                                                     
77149	Saginaw, MI Urbanized Area	U	184441846	2883974	71.213	1.114	43.43194	-83.981818                                                                                                                   
77161	Sahuarita--Green Valley, AZ Urban Cluster	C	59142400	39434	22.835	0.015	31.893608	-110.992493                                                                                                     
77176	St. Albans, VT Urban Cluster	C	10849860	9313	4.189	0.004	44.808422	-73.082507                                                                                                                     
77203	St. Anthony, ID Urban Cluster	C	4783633	41854	1.847	0.016	43.962937	-111.680181                                                                                                                   
77230	St. Augustine, FL Urbanized Area	U	111602162	9249803	43.09	3.571	29.865818	-81.317432                                                                                                             
77284	St. Charles, MN Urban Cluster	C	4269388	0	1.648	0.	43.969758	-92.061915                                                                                                                           
77311	St. Clair, MO Urban Cluster	C	9780053	80069	3.776	0.031	38.344045	-90.984272                                                                                                                      
77338	St. Cloud, MN Urbanized Area	U	129987572	3222658	50.188	1.244	45.572139	-94.193582                                                                                                                
77365	Ste. Genevieve, MO Urban Cluster	C	6363605	0	2.457	0.	37.973405	-90.047395                                                                                                                        
77392	St. Francis, MN Urban Cluster	C	12539903	2113163	4.842	0.816	45.367023	-93.351563                                                                                                                 
77446	St. George, UT Urbanized Area	U	116425489	44033	44.952	0.017	37.105622	-113.567422                                                                                                                
77500	St. Helena, CA Urban Cluster	C	16156072	106863	6.238	0.041	38.512838	-122.468034                                                                                                                  
77527	St. Helens, OR Urban Cluster	C	33784276	271862	13.044	0.105	45.826288	-122.84606                                                                                                                  
77554	St. Ignace, MI Urban Cluster	C	5521935	31014	2.132	0.012	45.864565	-84.731717                                                                                                                     
77581	St. James, MN Urban Cluster	C	5030728	0	1.942	0.	43.983365	-94.626849                                                                                                                             
77608	St. James, MO Urban Cluster	C	6294063	12145	2.43	0.005	37.999846	-91.617257                                                                                                                       
77618	St. James, NC Urban Cluster	C	8120874	9174	3.135	0.004	33.938824	-78.113638                                                                                                                       
77635	St. Johns, AZ Urban Cluster	C	5578057	5401	2.154	0.002	34.503291	-109.379494                                                                                                                      
77662	St. Johns, MI Urban Cluster	C	10926384	47063	4.219	0.018	42.991428	-84.558099                                                                                                                     
77689	St. Johnsbury, VT Urban Cluster	C	8568274	122277	3.308	0.047	44.435491	-72.012249                                                                                                                 
77716	St. Joseph, IL Urban Cluster	C	7744821	10463	2.99	0.004	40.117647	-88.033846                                                                                                                      
77743	St. Joseph, MO--KS Urbanized Area	U	108164650	338322	41.763	0.131	39.75655	-94.830405                                                                                                             
77770	St. Louis, MO--IL Urbanized Area	U	2391793098	29388733	923.477	11.347	38.630705	-90.340926                                                                                                        
77797	St. Maries, ID Urban Cluster	C	3415517	16323	1.319	0.006	47.316543	-116.574805                                                                                                                    
77824	St. Martinville, LA Urban Cluster	C	12639297	230179	4.88	0.089	30.129085	-91.835324                                                                                                               
77841	St. Marys, KS Urban Cluster	C	2735477	0	1.056	0.	39.195239	-96.066729                                                                                                                             
77851	St. Marys, OH Urban Cluster	C	13817084	50356	5.335	0.019	40.542817	-84.399716                                                                                                                     
77878	St. Marys, PA Urban Cluster	C	17281807	3139	6.673	0.001	41.421274	-78.534949                                                                                                                      
77905	St. Marys, WV--OH Urban Cluster	C	6767087	19918	2.613	0.008	39.398025	-81.220842                                                                                                                  
77932	St. Marys--Kingsland, GA Urban Cluster	C	81318832	1969453	31.397	0.76	30.779763	-81.60768                                                                                                         
77986	St. Pauls, NC Urban Cluster	C	5976255	0	2.307	0.	34.81361	-78.971211                                                                                                                              
78013	St. Peter, MN Urban Cluster	C	12007666	219877	4.636	0.085	44.325972	-93.966904                                                                                                                    
78026	St. Simons, GA Urban Cluster	C	23179196	311625	8.95	0.12	31.179098	-81.384254                                                                                                                     
78067	Salamanca, NY Urban Cluster	C	8325595	389986	3.215	0.151	42.160643	-78.727677                                                                                                                     
78094	Salem, IL Urban Cluster	C	14198076	160687	5.482	0.062	38.626007	-88.969117                                                                                                                        
