"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10buff008","2005","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","68","N","39","N","63.2",",N,0813,","530.9",",N"
"US10buff008","2006","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","73","N","48","N","78.0",",N,0808,","814.3",",N"
"US10buff008","2007","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","94","N","61","N","48.5",",N,0424,","734.0",",N"
"US10buff008","2008","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","97","N","69","N","87.4",",N,0524,","982.2",",N"
"US10buff008","2009","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","99","N","57","N","96.0",",N,0606,","905.8",",N"
"US10buff008","2010","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","83","N","52","N","54.1",",N,0817,","812.4",",N"
"US10buff008","2011","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","90","N","57","N","103.4",",N,1008,","742.3",",N"
"US10buff008","2014","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","77","N","52","N","46.7",",N,0621,","669.6",",N"
"US10buff008","2015","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","82","N","58","N","34.5",",N,1118,","577.8",",N"
"US10buff008","2016","40.9593","-98.9631","626.1","RAVENNA 5.3 SW, NE US","76","N","46","N","97.5",",N,0417,","629.3",",N"
