"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10merr015","2007","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","109","N","68","N","0","N","0",",N,1231,+","79.8",",N,0530,","933.7",",N","0",",N"
"US10merr015","2008","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","110","N","56","N","0","N","0",",N,1231,+","72.1",",N,0716,","1020.3",",N","0",",N"
"US10merr015","2009","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","113","N","52","N","0","N","0",",N,1231,+","53.3",",N,0619,","646.0",",N","0",",N"
"US10merr015","2010","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","100","N","57","N","0","N","0",",N,1231,+","42.9",",N,0620,","657.2",",N","0",",N"
"US10merr015","2011","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","110","N","57","N","0","N","0",",N,1231,+","43.2",",N,0812,","753.5",",N","0",",N"
"US10merr015","2012","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","59","N","28","N","0","N","0",",N,1231,+","26.2",",N,0524,","337.8",",N","0",",N"
"US10merr015","2013","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","84","N","49","N","0","N","0",",N,1231,+","77.0",",N,0525,","716.5",",N","0",",N"
"US10merr015","2014","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","79","N","48","N","","","","","73.7",",N,0910,","748.8",",N","",""
"US10merr015","2015","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","87","N","54","N","0","N","0",",N,1231,+","66.3",",N,0924,","813.0",",N","0",",N"
"US10merr015","2016","41.1146","-97.9952","519.1","CENTRAL CITY 1.0 NNE, NE US","78","N","45","N","","","","","57.7",",N,0511,","533.7",",N","",""
