"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00454679","1931","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","86","0","36","0","29","","3","0","2","0","124","0","","","","","","","-18.9","0,1215,","127",",0,1125,","117",",0,1125,","14.0",",0,1107,","","","-1.1","0,1008","-5.0","0,1021","-5.0","0,1021","-8.3","0,1121","-10.6","0,1122","-1.1","0,0520","-2.8","0,0420","-5.6","0,0327","-6.7","0,0102","-9.4","0,0101","","","","","248.0",",0","335",",0","","","","","3.76","0","",""
"USC00454679","1932","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","77","0","26","0","44","","7","0","7","0","119","0","","","","","","","-21.1","0,1211,+","152",",0,0204,","127",",0,1216,","18.8",",0,0822,","","","-1.1","0,1009","-2.8","0,1018","-4.4","0,1030","-13.3","0,1207","-13.3","0,1207","-1.1","0,0526","-2.8","0,0312","-4.4","0,0311","-10.0","0,0218","-10.0","0,0218","","","","","203.4",",0","574",",0","","","","","3.11","0","",""
"USC00454679","1933","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","87","0","36","0","36","","11","0","4","0","124","0","","","","","","","-20.0","0,0214,","229",",0,0215,","84",",0,0131,","19.6",",0,1206,","","","-2.2","0,0925","-2.2","0,0925","-4.4","0,1129","-8.3","0,1216","","","0.0","0,0610","-2.8","0,0416","-4.4","0,0410","-6.7","0,0219","-11.7","0,0218","","","","","277.6",",0","566",",0","","","","","3.09","0","",""
"USC00454679","1934","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","71","0","27","0","4","","3","0","0","0","98","0","","","","","","","-5.6","0,1206,+","25",",0,1228,+","41",",0,1127,","16.5",",0,0922,","","","0.0","0,0920","-3.3","0,1128","-4.4","0,1205","","","","","0.0","0,0520","-2.8","0,0403","-5.0","0,0324","","","","","","","","","222.0",",0","125",",0","","","","","4.85","0","",""
"USC00454679","1935","47.0022","-118.5657","496.8","LIND 3 NE, WA US","268.6","","268.6","0","64","0","18","0","8","","4","0","3","0","151","0","30","0","141","0","37","0","-25.0","0,0120,","76",",0,0121,+","53",",0,0115,","9.4",",0,0818,","42.2","0,0714,","-1.7","0,1016","-2.2","0,1020","-5.0","0,1022","-12.8","0,1030","-12.8","0,1030","0.0","0,0520","-2.2","0,0414","-8.9","0,0403","-8.9","0,0403","-8.9","0,0403","","","","","131.5",",0","197",",0","9.54","0","16.22","0","2.86","0","",""
"USC00454679","1936","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","60","0","17","0","37","","7","0","9","0","136","0","","","","","","","-23.3","0,0208,","178",",0,0221,","86",",0,0104,","21.6",",0,1224,","","","-2.2","0,0915","-2.2","0,0915","-14.4","0,1102","-14.4","0,1102","-14.4","0,1102","-1.7","0,0408","-3.9","0,0405","-6.7","0,0404","-6.7","0,0404","-11.7","0,0401","3503.9","","3503.9","0","198.3",",0","372",",0","","","","","2.67","0","",""
"USC00454679","1937","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","100","0","40","0","","","3","0","11","0","109","0","","","","","","","-25.6","0,0131,","","","61",",0,1227,","18.0",",0,1111,+","","","-0.6","0,1103","-3.9","0,1106","-6.1","0,1208","-7.8","0,1209","","","0.0","0,0505","-2.2","0,0319","-8.9","0,0220","-8.9","0,0220","-8.9","0,0220","","","","","317.8",",0","354",",0","","","","","2.98","0","",""
"USC00454679","1938","47.0022","-118.5657","496.8","LIND 3 NE, WA US","390.1","","390.1","0","73","0","24","0","13","","5","0","0","0","123","0","18","0","138","0","43","0","-12.2","0,1214,+","102",",0,0202,","76",",0,0202,","36.3",",0,0618,","41.1","0,0721,","-3.3","0,1014","-3.3","0,1014","-5.0","0,1017","-7.2","0,1111","-8.9","0,1122","-1.1","0,0509","-3.3","0,0413","-6.7","0,0329","-6.7","0,0329","-10.6","0,0130","","","","","210.8",",0","319",",0","10.60","0","17.17","0","4.03","0","",""
"USC00454679","1939","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","71","0","24","0","6","","4","0","1","0","128","0","","","","","","","-18.9","0,0210,","51",",0,0211,","79",",0,0227,","11.9",",0,1210,","","","0.0","0,1003","-2.8","0,1008","-4.4","0,1025","-6.7","0,1121","-10.0","0,1224","0.0","0,0531","-2.2","0,0410","-6.1","0,0305","-13.9","0,0211","-13.9","0,0211","","","","","158.9",",0","317",",0","","","","","3.79","0","",""
"USC00454679","1940","47.0022","-118.5657","496.8","LIND 3 NE, WA US","","","","","109","0","52","0","29","","7","0","0","0","121","0","","","","","","","-15.0","0,1216,","152",",0,1124,","81",",0,1124,","21.8",",0,1003,","","","-0.6","0,1031","-2.2","0,1103","-10.0","0,1110","-10.0","0,1110","-10.0","0,1110","0.0","0,0527","-2.2","0,0320","-5.0","0,0202","-6.7","0,0201","-9.4","0,0125","","","","","443.1",",0","396",",0","","","","","4.27","0","",""
"USC00454679","1941","47.0022","-118.5657","496.8","LIND 3 NE, WA US","306.9","","306.9","0","106","0","49","0","18","","5","0","0","0","121","0","13","0","124","0","39","0","-13.3","0,1231,","152",",0,0114,","130",",0,0114,","16.0",",0,0902,","42.8","0,0717,","-1.7","0,0921","-3.9","0,1030","-4.4","0,1119","-7.8","0,1122","-10.0","0,1229","0.0","0,0519","-2.2","0,0417","-4.4","0,0416","-6.7","0,0314","-10.6","0,0111","3055.0","","3055.0","0","392.2",",0","351",",0","10.55","0","17.15","0","3.95","0","",""
"USC00454679","1942","47.0022","-118.5657","496.8","LIND 3 NE, WA US","365.1","","365.1","0","97","0","41","0","67","","13","0","7","0","152","0","31","0","145","0","41","0","-22.2","0,0105,","279",",0,1208,","89",",0,1227,+","26.4",",0,0626,","40.6","0,0703,","-1.7","0,1012","-5.6","0,1024","-5.6","0,1024","-8.9","0,1128","-8.9","0,1128","-0.6","0,0517","-2.8","0,0502","-4.4","0,0327","-7.2","0,0325","-12.2","0,0223","3427.0","","3427.0","0","324.0",",0","745",",0","9.42","0","16.53","0","2.31","0","",""
