"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00155097","1936","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","978.6","","978.6","6","","","","","","","","","7","6","107","6","29","6","191","6","82","6","-23.3","6,0127,","","","","","","","40.6","6,0827,+","-3.9","6,1028","-3.9","6,1028","-4.4","6,1105","-7.8","6,1116","-11.1","6,1127","0.0","6,0423","-2.8","6,0419","-6.7","6,0408","-6.7","6,0408","-13.3","6,0220","","","","","","","","","13.63","6","20.29","6","6.98","6","",""
"USC00155097","1937","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2361.5","","2361.5","6","","","","","","","","","","","",""
"USC00155097","1938","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","640.6","","640.6","6","","","","","","","","","2","6","90","6","5","6","224","6","28","6","-19.4","6,0127,","","","","","","","35.6","6,0717,","-0.6","6,1021","-8.3","6,1109","-8.3","6,1109","-8.3","6,1109","-11.7","6,1125","-3.3","6,0410","-3.3","6,0410","-4.4","6,0404","-7.2","6,0307","-10.6","6,0301","","","","","","","","","14.54","6","21.79","6","7.28","6","",""
"USC00155097","1939","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","724.1","","724.1","6","126","6","76","6","","","","","0","6","106","6","4","6","193","6","44","6","-13.3","6,1222,","","","","","84.1",",6,0618,","37.8","6,0909,+","-0.6","6,1013","-3.3","6,1015","-5.0","6,1029","-7.8","6,1105","-10.6","6,1214","-0.6","6,0504","-5.6","6,0413","-5.6","6,0413","-8.9","6,0319","-8.9","6,0319","2219.6","","2219.6","6","1486.6",",6","","","13.70","6","20.58","6","6.82","6","",""
"USC00155097","1940","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","140","6","88","6","","","","","","","","","25","6","181","6","37","6","","","","","","","68.6",",6,0303,","36.7","6,0730,","","","","","","","","","","","","","","","","","","","","","2980.2","","2980.2","6","1164.8",",6","","","","","18.82","6","","","",""
"USC00155097","1941","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","118","6","71","6","","","","","","","","","9","6","194","6","53","6","","","","","","","124.0",",6,0719,","36.7","6,0701,","","","","","","","","","","","","","","","","","","","","","","","","","974.5",",6","","","","","20.25","6","","","",""
"USC00155097","1942","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","128","6","85","6","","","","","","","","","21","6","193","6","39","6","","","","","","","100.8",",6,0823,","37.8","6,0802,","","","","","","","","","","","","","","","","","","","","","","","","","1285.1",",6","","","","","19.35","6","","","",""
"USC00155097","1943","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","113","6","73","6","","","","","","","","","13","6","188","6","53","6","","","","","","","91.2",",6,0902,","40.0","6,0826,","","","","","","","","","","","","","","","","","","","","","","","","","1157.1",",6","","","","","19.59","6","","","",""
"USC00155097","1944","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","123","6","82","6","","","","","","","","","13","6","189","6","69","6","","","","","","","60.2",",6,0827,","38.3","6,0711,+","","","","","","","","","","","","","","","","","","","","","","","","","1266.8",",6","","","","","20.16","6","","","",""
"USC00155097","1945","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","","","","","","","","","5","6","114","6","19","6","194","6","41","6","-20.0","6,0201,","","","","","","","37.2","6,0831,","-1.7","6,1009","-2.2","6,1016","-6.7","6,1104","-6.7","6,1104","-14.4","6,1211","-0.6","6,0511","-2.8","6,0419","-5.0","6,0406","-6.7","6,0212","-10.0","6,0203","","","","","","","","","12.57","6","19.40","6","5.74","6","",""
"USC00155097","1946","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","128","6","78","6","","","","","","","","","8","6","208","6","29","6","","","","","","","68.6",",6,0326,","34.4","6,0719,+","","","","","","","","","","","","","","","","","","","","","2276.4","","2276.4","6","1232.4",",6","","","","","20.92","6","","","",""
"USC00155097","1947","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","616.5","","616.5","6","121","6","92","6","","","","","2","6","123","6","10","6","185","6","39","6","-18.9","6,0208,","","","","","63.2",",6,0416,","35.6","6,0905,+","-0.6","6,1001","-2.8","6,1108","-6.7","6,1112","-6.7","6,1112","-10.0","6,1130","-1.7","6,0510","-3.3","6,0331","-4.4","6,0330","-10.6","6,0328","-10.6","6,0328","","","","","1209.0",",6","","","12.56","6","19.46","6","5.66","6","",""
"USC00155097","1948","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","","","","","105","0","80","0","","","","","","","","","","","","","","","","","","","","","92.5",",0,1106,","","","","","","","","","","","","","","","","","","","","","","","2500.3","","2500.3","","1565.4",",0","","","","","","","","","",""
"USC00155097","1949","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","620.7","","620.7","0","146","0","98","0","","","1","0","0","0","82","0","4","0","191","0","29","0","-15.6","0,0201,","","","51",",0,0131,","98.6",",0,1212,","35.6","0,0710,","-1.1","0,0930","-3.3","0,1104","-5.0","0,1106","-8.9","0,1122","-8.9","0,1122","-2.2","0,0420","-2.2","0,0420","-6.7","0,0319","-6.7","0,0319","-11.7","0,0316","","","","","1599.2",",0","51",",0","14.16","0","20.45","0","7.86","0","",""
