"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00045032","1893","38.1061","-121.2877","12.2","LODI, CA US","369.2","","369.2","6","46","6","37","6","","","","","0","6","11","6","0","6","183","6","40","6","-1.1","6,1120,","","","","","34.5",",6,0311,","37.8","6,0802,","","","0.0","6,1118","","","","","","","","","0.0","6,0227","","","","","","","","","","","","","","","","","459.5",",6","","","14.79","6","21.34","6","8.25","6","",""
"USC00045032","1894","38.1061","-121.2877","12.2","LODI, CA US","482.7","","482.7","6","","","","","","","","","0","6","18","6","0","6","200","6","50","6","-4.4","6,0106,","","","","","","","40.0","6,0826,","","","-0.6","6,1213","","","","","","","","","-0.6","6,0304","-4.4","6,0106","-4.4","6,0106","","","","","1626.5","","1626.5","6","","","","","","","","","15.30","6","21.88","6","8.71","6","",""
"USC00045032","1895","38.1061","-121.2877","12.2","LODI, CA US","430.6","","430.6","6","","","","","","","","","0","6","16","6","0","6","200","6","41","6","-3.3","6,1230,","","","","","","","38.9","6,0623,","","","-2.8","6,1124","-2.8","6,1124","","","","","","","0.0","6,0315","","","","","","","","","1450.3","","1450.3","6","","","","","","","","","15.28","6","21.86","6","8.69","6","",""
"USC00045032","1896","38.1061","-121.2877","12.2","LODI, CA US","531.1","","531.1","6","","","","","","","","","0","6","13","6","0","6","188","6","52","6","-2.8","6,1129,","","","","","","","40.6","6,0708,","","","0.0","6,1127","-2.8","6,1129","","","","","","","-1.1","6,0301","-2.2","6,0105","","","","","","","1578.7","","1578.7","6","","","","","","","","","15.72","6","22.49","6","8.94","6","",""
"USC00045032","1897","38.1061","-121.2877","12.2","LODI, CA US","514.5","","514.5","6","","","","","","","","","0","6","28","6","0","6","197","6","60","6","-2.8","6,1223,+","","","","","","","40.0","6,0819,","","","0.0","6,1108","-2.8","6,1220","","","","","","","0.0","6,0330","","","","","","","","","1549.0","","1549.0","6","","","","","","","","","15.03","6","21.72","6","8.34","6","",""
"USC00045032","1898","38.1061","-121.2877","12.2","LODI, CA US","565.3","","565.3","6","","","","","","","","","0","6","38","6","0","6","214","6","64","6","-6.1","6,1210,","","","","","","","42.2","6,0813,+","","","-0.6","6,1205","-6.1","6,1210","-6.1","6,1210","","","","","-0.6","6,0327","-3.9","6,0130","","","","","","","1673.3","","1673.3","6","","","","","","","","","15.48","6","23.04","6","7.92","6","",""
"USC00045032","1899","38.1061","-121.2877","12.2","LODI, CA US","506.5","","506.5","6","","","","","","","","","0","6","12","6","0","6","193","6","57","6","-3.9","6,0205,","","","","","","","41.1","6,0718,","","","-0.6","6,1209","","","","","","","","","0.0","6,0312","-3.3","6,0206","","","","","","","1546.9","","1546.9","6","","","","","","","","","15.47","6","22.37","6","8.57","6","",""
"USC00045032","1900","38.1061","-121.2877","12.2","LODI, CA US","446.4","","446.4","6","","","","","","","","","0","6","4","6","0","6","208","6","44","6","-4.4","6,1231,","","","","","","","39.4","6,0802,+","","","0.0","6,1229","-2.2","6,1230","-4.4","6,1231","","","","","0.0","6,0409","","","","","","","","","1374.9","","1374.9","6","","","","","","","","","15.81","6","22.26","6","9.36","6","",""
"USC00045032","1901","38.1061","-121.2877","12.2","LODI, CA US","","","","","51","6","42","6","","","","","","","","","","","","","","","","","","","","","33.8",",6,0205,","","","","","","","","","","","","","","","","","","","","","","","","","1435.5","","1435.5","6","","","","","415.0",",6","","","","","","","","","",""
"USC00045032","1902","38.1061","-121.2877","12.2","LODI, CA US","429.5","","429.5","6","57","6","39","6","","","","","0","6","26","6","0","6","196","6","51","6","-4.4","6,0127,","","","","","31.8",",6,0225,","42.2","6,0724,","","","-1.1","6,1101","-2.8","6,1128","","","","","","","0.0","6,0304","-2.2","6,0131","-4.4","6,0127","","","","","","","","","","","","","387.8",",6","","","14.78","6","21.90","6","7.67","6","",""
