"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415661","1965","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1846.2","","1846.2","0","76","0","46","0","0","","0","0","0","0","10","0","0","0","294","0","114","0","-3.3","0,0225,","0",",0,1231,+","0",",0,1231,+","78.2",",0,0205,","38.9","0,0911,","","","","","","","","","","","","","-0.6","0,0321","-3.3","0,0225","","","","","662.0","","662.0","0","","","","","808.9",",0","0",",0","21.79","0","27.54","0","16.03","0","",""
"USC00415661","1966","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1366.9","","1366.9","0","85","0","56","0","0","","0","0","0","0","23","0","0","0","275","0","57","0","-5.6","0,0130,","0",",0,1231,+","0",",0,1231,+","122.7",",0,0425,","37.2","0,0811,","","","0.0","0,1130","-2.8","0,1211","","","","","","","0.0","0,0308","-3.9","0,0131","-5.6","0,0130","","","677.1","","677.1","0","","","","","1046.1",",0","0",",0","19.70","0","25.15","0","14.24","0","",""
"USC00415661","1967","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1735.9","","1735.9","0","56","0","45","0","0","","0","0","0","0","13","0","0","0","302","0","105","0","-2.8","0,0106,","0",",0,1231,+","0",",0,1231,+","213.4",",0,0921,","39.4","0,0811,+","","","-0.6","0,1223","","","","","","","","","0.0","0,0210","-2.8","0,0106","","","","","714.2","","714.2","0","","","","","1170.4",",0","0",",0","21.35","0","27.32","0","15.37","0","",""
"USC00415661","1968","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00415661","1969","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1734.1","","1734.1","0","76","0","61","0","0","","0","0","0","0","8","0","0","0","303","0","125","0","-3.3","0,0105,","0",",0,1231,+","0",",0,1231,+","172.2",",0,0214,","40.0","0,0817,","","","-1.1","0,1120","","","","","","","","","-0.6","0,0111","-3.3","0,0105","","","","","647.5","","647.5","0","","","","","1060.4",",0","0",",0","21.40","0","27.80","0","15.00","0","",""
"USC00415661","1970","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1590.5","","1590.5","0","78","0","47","0","0","","0","0","0","0","11","0","0","0","300","0","107","0","-5.6","0,0108,+","0",",0,1231,+","0",",0,1231,+","62.0",",0,0515,","38.3","0,0824,","","","-1.7","0,1124","","","","","","","","","-1.1","0,0204","-5.6","0,0108","-5.6","0,0108","","","745.3","","745.3","0","","","","","839.5",",0","0",",0","20.73","0","26.98","0","14.47","0","",""
"USC00415661","1971","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1835.5","","1835.5","0","68","0","46","0","0","","0","0","0","0","8","0","0","0","330","0","129","0","-2.8","0,0209,+","0",",0,1231,+","0",",0,1231,+","293.4",",0,0911,","40.0","0,0729,","","","","","","","","","","","","","0.0","0,0304","-2.8","0,0209","","","","","462.9","","462.9","0","","","","","1214.6",",0","0",",0","22.07","0","28.82","0","15.33","0","",""
"USC00415661","1972","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458.2","","458.2","0","","","","","","","","","","","","","","","",""
"USC00415661","1973","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","1745.0","","1745.0","0","90","0","58","0","1","","1","0","0","0","14","0","2","0","313","0","133","0","-5.6","0,0113,+","51",",0,0209,","38",",0,0209,","141.0",",0,1012,","38.9","0,0730,","","","0.0","0,1220","-5.0","0,1221","-5.0","0,1221","","","","","-2.2","0,0211","-2.2","0,0211","-4.4","0,0210","","","","","","","","","","","1381.6",",0","38",",0","21.25","0","27.78","0","14.72","0","",""
"USC00415661","1974","28.0372","-97.8725","42.1","MATHIS 4 SSW, TX US","","","","","83","0","44","0","0","","0","0","","","","","0","0","307","0","144","0","","","0",",0,1231,+","0",",0,1231,+","93.7",",0,0611,","40.6","0,0729,+","","","","","","","","","","","","","","","","","","","","","503.3","","503.3","0","","","","","843.2",",0","0",",0","","","28.25","0","","","",""
