"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SDDL0001","2008","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","92","N","52","N","41.9",",N,0426,","553.9",",N"
"US1SDDL0001","2009","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","91","N","55","N","75.7",",N,0323,","680.7",",N"
"US1SDDL0001","2010","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","85","N","61","N","50.5",",N,0916,","805.8",",N"
"US1SDDL0001","2011","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","64","N","39","N","47.2",",N,0705,","417.8",",N"
"US1SDDL0001","2012","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","63","N","42","N","31.2",",N,0506,","462.3",",N"
"US1SDDL0001","2013","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","78","N","50","N","75.7",",N,0622,","614.6",",N"
"US1SDDL0001","2014","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","62","N","55","N","33.3",",N,0319,","549.2",",N"
"US1SDDL0001","2015","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","69","N","54","N","105.7",",N,0807,","753.8",",N"
"US1SDDL0001","2016","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","82","N","58","N","73.2",",N,0812,","774.1",",N"
"US1SDDL0001","2017","44.7571","-96.6839","551.1","CLEAR LAKE 0.6 SSW, SD US","70","N","41","N","48.5",",N,0817,","656.8",",N"
