"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00339357","1975","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","116","6","82","6","9","6","157","6","34","6","126.2",",6,0704,","36.7","6,0625,","1036.4",",6","17.73","6"
"USC00339357","1977","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","103","6","77","6","","","","","","","64.8",",6,0730,","","","842.0",",6","",""
"USC00339357","1978","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","103","6","82","6","","","","","","","40.1",",6,0831,","","","848.7",",6","",""
"USC00339357","1979","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","116","6","93","6","","","","","","","99.8",",6,0915,","","","1172.1",",6","",""
"USC00339357","1980","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","103","6","72","6","","","","","","","109.7",",6,0628,","","","1182.2",",6","",""
"USC00339357","1981","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","105","6","81","6","","","","","","","70.4",",6,0701,","","","1170.4",",6","",""
"USC00339357","1983","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","112","6","83","6","","","","","","","64.8",",6,0718,","","","1114.6",",6","",""
"USC00339357","1984","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","121","6","85","6","26","6","161","6","28","6","48.0",",6,0805,","36.1","6,0613,","1068.9",",6","17.46","6"
"USC00339357","1986","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","","","","","18","6","185","6","34","6","","","36.1","6,0725,","","","18.60","6"
"USC00339357","1990","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","108","6","81","6","","","","","","","75.4",",6,0710,","","","1383.3",",6","",""
"USC00339357","1991","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","77","6","62","6","","","","","","","52.1",",6,0622,","","","735.2",",6","",""
"USC00339357","1992","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","104","6","71","6","","","","","","","54.9",",6,0618,","","","931.0",",6","",""
"USC00339357","1993","39.71667","-83.96667","249.9","XENIA TREATMENT PLAN, OH US","104","6","80","6","","","","","","","68.8",",6,0513,","","","884.7",",6","",""
