"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014765","1948","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","332.6","","332.6","X","130","0","92","0","79","","15","X","6","X","118","X","38","X","117","X","7","X","-20.6","X,0211,","533",",X,0207,+","257",",X,1219,","61.5",",0,0530,","37.8","X,0826,","-2.2","X,1019","-2.2","X,1019","-5.6","X,1218","-8.3","X,1219","-9.4","X,1221","0.0","X,0428","-2.8","X,0418","-11.1","X,0314","-11.1","X,0314","-11.1","X,0314","","","","","1250.7",",0","","","1654",",X","9.76","X","14.86","X","4.66","X","","","","","","","","","","","","","","","","","",""
"USW00014765","1949","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","449.2","","449.2","0","119","0","72","0","27","","11","0","0","0","98","0","14","0","141","0","17","0","-15.6","0,0212,","203",",0,0301,","175",",0,0318,","52.1",",0,0922,","37.2","0,0704,","-1.7","0,1106","-6.7","0,1122","-6.7","0,1122","-6.7","0,1122","-11.1","0,1127","0.0","0,0418","-7.8","0,0321","-7.8","0,0321","-7.8","0,0321","-13.3","0,0320","2940.7","","2940.7","0","906.3",",0","","","886",",0","11.31","0","16.50","0","6.12","0","","","","","","","","","","","","","","","","","",""
"USW00014765","1950","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","272.1","","272.1","0","126","0","81","0","23","","5","0","2","0","118","0","20","0","118","0","4","0","-19.4","0,0221,","152",",0,0214,","165",",0,0214,","53.3",",0,1121,","32.8","0,0731,+","-2.2","0,1027","-2.2","0,1027","-5.0","0,1123","-8.9","0,1219","-8.9","0,1219","-1.1","0,0413","-2.2","0,0410","-5.0","0,0331","-6.7","0,0319","-10.0","0,0311","3293.6","","3293.6","0","1004.3",",0","","","570",",0","9.96","0","14.91","0","5.00","0","","","","","","","","","","","","","","","","","",""
"USW00014765","1951","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","305.5","","305.5","0","127","0","79","0","13","","8","0","0","0","94","0","22","0","130","0","0","0","-15.6","0,0131,","203",",0,0204,","107",",0,0203,","49.8",",0,1107,","31.7","0,0727,+","0.0","0,0930","-2.2","0,1104","-4.4","0,1119","-7.8","0,1121","-10.0","0,1128","-6.1","0,0327","-6.1","0,0327","-6.1","0,0327","-10.0","0,0216","-10.0","0,0216","3031.0","","3031.0","0","1159.4",",0","","","613",",0","10.74","0","15.68","0","5.80","0","","","","","","","","","","","","","","","","","",""
"USW00014765","1952","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","417.2","","417.2","0","115","0","75","0","31","","12","0","1","0","113","0","11","0","131","0","13","0","-17.8","0,0130,","178",",0,0218,","150",",0,0218,","53.8",",0,0810,","36.1","0,0626,","0.0","0,1020","-2.8","0,1021","-6.7","0,1109","-6.7","0,1109","-8.9","0,1220","-0.6","0,0412","-4.4","0,0317","-4.4","0,0317","-8.3","0,0302","-11.1","0,0214","3138.2","","3138.2","0","1055.7",",0","","","832",",0","10.90","0","15.82","0","5.98","0","","","","","","","","","","","","","","","","","",""
"USW00014765","1953","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","354.3","","354.3","0","120","0","76","0","18","","8","0","0","0","97","0","10","0","134","0","12","0","-12.8","0,0202,","102",",0,0109,","114",",0,0109,","85.9",",0,1123,","37.2","0,0902,","-1.1","0,1009","-2.2","0,1014","-11.1","0,1217","-11.1","0,1217","-11.1","0,1217","-0.6","0,0414","-4.4","0,0312","-4.4","0,0312","-11.7","0,0311","-11.7","0,0311","3014.6","","3014.6","0","1448.9",",0","","","565",",0","11.27","0","16.44","0","6.09","0","","","","","","","","","","","","","","","","","",""
"USW00014765","1954","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","264.6","","264.6","0","138","0","82","0","22","","9","0","3","0","121","0","22","0","129","0","2","0","-22.2","0,0118,","279",",0,0115,","173",",0,1221,","111.0",",0,0911,","34.4","0,0714,","-2.8","0,1008","-2.8","0,1008","-5.6","0,1202","-7.2","0,1203","-8.9","0,1206","-1.7","0,0410","-5.6","0,0405","-5.6","0,0405","-10.0","0,0404","-10.0","0,0404","3108.7","","3108.7","0","1309.6",",0","","","685",",0","10.22","0","15.29","0","5.15","0","","","","","","","","","113","X","","","","","","","46.9","X"
"USW00014765","1955","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","415.4","","415.4","0","117","0","74","0","17","","5","0","3","0","121","0","29","0","130","0","13","0","-19.4","0,1221,+","127",",0,0203,","94",",0,0201,","83.3",",0,0819,","35.6","0,0705,","-1.7","0,1022","-3.3","0,1023","-5.0","0,1123","-7.2","0,1206","-8.9","0,1207","-2.2","0,0409","-2.2","0,0409","-4.4","0,0329","-6.7","0,0320","-10.0","0,0308","3224.6","","3224.6","0","1314.1",",0","","","469",",0","10.07","0","15.02","0","5.12","0","","","","","","","","","180","X","","","","","","","27.8","X"
"USW00014765","1956","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","305.5","","305.5","0","146","0","84","0","43","","14","0","0","0","126","0","19","0","105","0","7","0","-16.1","0,0102,","508",",0,0320,","373",",0,0319,","64.5",",0,1007,","34.4","0,0615,+","-2.8","0,1011","-2.8","0,1011","-5.6","0,1110","-8.9","0,1111","-8.9","0,1111","-1.7","0,0509","-3.3","0,0413","-7.2","0,0329","-7.2","0,0329","-10.6","0,0325","3604.5","","3604.5","0","1084.2",",0","","","1434",",0","9.68","0","14.61","0","4.75","0","","","","","","","","","225","X","","","","","","","32.4","X"
"USW00014765","1957","41.7225","-71.4325","16.8","PROVIDENCE, RI US","","","370.7","","370.7","0","113","0","65","0","35","","10","0","4","0","112","0","19","0","138","0","10","0","-22.8","0,0115,","152",",0,0321,","152",",0,0320,","48.8",",0,0405,","36.1","0,0722,+","0.0","0,1106","-4.4","0,1111","-4.4","0,1111","-8.9","0,1127","-8.9","0,1127","-2.2","0,0416","-2.2","0,0416","-4.4","0,0311","-7.8","0,0305","-10.0","0,0212","3272.3","","3272.3","0","764.6",",0","","","845",",0","10.73","0","16.02","0","5.44","0","","","","","","","","","180","X","","","","","","","30.3","X"
