"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014767","1895","40.33333","-75.96667","88.1","READING, PA US","","","","","121","6","67","6","","","","","","","","","","","","","","","","","","","","","45.7",",6,0705,","","","","","","","","","","","","","","","","","","","","","","","","","","","848.1",",6","","","","","","","","","","","","","","","",""
"USW00014767","1898","40.33333","-75.96667","88.1","READING, PA US","","","","","138","6","78","6","","","","","","","","","","","","","","","","","","","","","49.3",",6,0805,","","","","","","","","","","","","","","","","","","","","","","","","","","","1056.7",",6","","","","","","","","","","","","","","","",""
"USW00014767","1899","40.33333","-75.96667","88.1","READING, PA US","","","","","137","6","79","6","","","","","","","","","","","","","","","","","","","","","31.0",",6,0926,","","","","","","","","","","","","","","","","","","","","","","","","","","","1002.6",",6","","","","","","","","","","","","","","","",""
"USW00014767","1900","40.33333","-75.96667","88.1","READING, PA US","","","","","137","6","72","6","","","","","","","","","","","","","","","","","","","","","75.2",",6,0519,","","","","","","","","","","","","","","","","","","","","","","","","","","","847.2",",6","","","","","","","","","","","","","","","",""
"USW00014767","1901","40.33333","-75.96667","88.1","READING, PA US","","","","","141","6","80","6","","","","","","","","","","","","","","","","","","","","","45.5",",6,1229,","","","","","","","","","","","","","","","","","","","","","","","","","","","1041.1",",6","","","","","","","","","","","","","","","",""
"USW00014767","1903","40.33333","-75.96667","88.1","READING, PA US","","","","","132","6","77","6","","","","","","","","","","","","","","","","","","","","","67.6",",6,0718,","","","","","","","","","","","","","","","","","","","","","","","","","","","1298.2",",6","","","","","","","","","","","","","","","",""
"USW00014767","1904","40.33333","-75.96667","88.1","READING, PA US","461.1","","461.1","6","142","6","75","6","","","","","6","6","143","6","46","6","153","6","10","6","-25.0","6,0105,","","","","","85.9",",6,0810,","35.0","6,0719,","-0.6","6,1007","-3.9","6,1028","-5.0","6,1031","-7.2","6,1128","-10.0","6,1206","0.0","6,0423","-3.3","6,0420","-5.0","6,0329","-9.4","6,0305","-9.4","6,0305","3434.9","","3434.9","6","1119.8",",6","","","","","9.95","6","15.56","6","4.35","6","","","","","",""
"USW00014767","1905","40.33333","-75.96667","88.1","READING, PA US","501.1","","501.1","6","141","6","76","6","","","","","5","6","123","6","27","6","171","6","12","6","-21.1","6,0131,","","","","","58.4",",6,0825,+","35.6","6,0718,","-1.1","6,1022","-2.2","6,1030","-5.0","6,1111","-6.7","6,1114","-8.9","6,1201","-3.3","6,0419","-3.3","6,0419","-6.1","6,0315","-12.2","6,0305","-12.2","6,0305","3353.9","","3353.9","6","1040.9",",6","","","","","11.06","6","16.71","6","5.41","6","","","","","",""
"USW00014767","1906","40.33333","-75.96667","88.1","READING, PA US","620.1","","620.1","6","128","6","78","6","","","","","0","6","108","6","11","6","164","6","15","6","-15.6","6,0211,+","","","","","72.4",",6,0618,","34.4","6,0701,+","-2.2","6,1013","-2.2","6,1013","-6.7","6,1117","-6.7","6,1117","-10.6","6,1204","-0.6","6,0426","-3.3","6,0403","-7.8","6,0325","-7.8","6,0325","-11.1","6,0324","2871.3","","2871.3","6","1180.1",",6","","","","","12.01","6","17.37","6","6.65","6","","","","","",""
"USW00014767","1907","40.33333","-75.96667","88.1","READING, PA US","406.8","","406.8","6","148","6","92","6","","","","","4","6","116","6","26","6","136","6","2","6","-20.6","6,0207,","","","","","48.5",",6,0923,","32.8","6,0625,","-0.6","6,1015","-2.8","6,1022","-4.4","6,1117","-8.9","6,1205","-8.9","6,1205","-1.1","6,0422","-2.8","6,0403","-4.4","6,0402","-7.2","6,0312","-10.6","6,0307","3193.5","","3193.5","6","1222.8",",6","","","","","10.40","6","15.94","6","4.87","6","","","","","",""
